Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Div. Gr. Years,Div. Years,Div. Growth 3Y,Div. Growth 5Y
GILD,"Gilead Sciences, Inc.",188.19B,3.16,2.08%,49.20%,2.60%,Quarterly,11,11,2.43%,2.82%
NEE,"NextEra Energy, Inc.",186.35B,2.27,2.53%,68.67%,10.00%,Quarterly,30,55,9.15%,9.57%
CRM,"Salesforce, Inc.",181.81B,1.66,0.86%,22.22%,4.00%,Quarterly,2,2,-,-
BHP,BHP Group Limited,180.86B,2.17,3.03%,122.32%,-24.91%,Semi-Annual,-,47,-25.60%,-7.00%
ANET,"Arista Networks, Inc.",178.49B,0,-,-,-,-,-,-,-,-
APH,Amphenol Corporation,176.51B,1.00,0.69%,24.85%,37.19%,Quarterly,14,22,26.50%,25.18%
BLK,"BlackRock, Inc.",175.86B,22.92,2.12%,60.49%,4.14%,Quarterly,16,24,2.84%,7.30%
ISRG,"Intuitive Surgical, Inc.",175.02B,0,-,-,-,-,-,1,-,-
TJX,"The TJX Companies, Inc.",173.50B,1.70,1.09%,37.51%,13.33%,Quarterly,5,47,12.94%,45.58%
SCCO,Southern Copper Corporation,172.05B,3.97,1.90%,65.01%,75.03%,Quarterly,1,31,0.77%,16.07%
TD,The Toronto-Dominion Bank,164.46B,3.03,3.09%,36.79%,2.10%,Quarterly,-,54,3.26%,4.57%
RIO,Rio Tinto Group,163.04B,3.71,3.83%,59.01%,-14.63%,Semi-Annual,-,52,-8.96%,-7.83%
BX,Blackstone Inc.,161.48B,4.74,3.61%,122.48%,20.00%,Quarterly,2,20,2.51%,15.97%
TTE,TotalEnergies SE,159.71B,3.83,5.12%,61.87%,-,Quarterly,3,3,63.17%,34.15%
HDB,HDFC Bank Limited,159.00B,0.39,1.14%,71.71%,30.28%,Semi-Annual,4,5,9.83%,29.19%
DE,Deere & Company,158.76B,6.48,1.11%,35.03%,7.46%,Quarterly,5,55,11.22%,15.30%
ADI,"Analog Devices, Inc.",157.81B,3.96,1.23%,86.84%,7.61%,Quarterly,23,23,8.04%,9.20%
UL,Unilever PLC,156.63B,2.27,3.18%,68.25%,9.16%,Quarterly,3,55,4.87%,1.27%
APP,AppLovin Corporation,155.59B,0,-,-,-,-,-,1,-,-
LOW,"Lowe's Companies, Inc.",155.32B,4.80,1.73%,39.37%,4.40%,Quarterly,54,56,6.34%,15.61%
SHOP,Shopify Inc.,154.14B,0,-,-,-,-,-,-,-,-
PFE,Pfizer Inc.,153.80B,1.72,6.36%,126.07%,1.78%,Quarterly,15,56,2.23%,2.37%
UBER,"Uber Technologies, Inc.",153.57B,0,-,-,-,-,-,1,-,-
DHR,Danaher Corporation,153.16B,1.28,0.59%,25.35%,18.52%,Quarterly,8,33,7.86%,11.28%
HON,Honeywell International Inc.,152.27B,4.76,1.99%,56.95%,4.81%,Quarterly,15,41,4.44%,4.59%
UNP,Union Pacific Corporation,150.92B,5.52,2.17%,45.74%,3.01%,Quarterly,19,56,1.76%,7.15%
SMFG,"Sumitomo Mitsui Financial Group, Inc.",150.04B,0.44,1.89%,35.99%,34.75%,Semi-Annual,3,15,16.33%,8.81%
PDD,PDD Holdings Inc.,149.87B,0,-,-,-,-,-,1,-,-
QCOM,QUALCOMM Incorporated,148.24B,3.56,2.56%,72.67%,4.71%,Quarterly,23,24,5.87%,6.49%
BUD,Anheuser-Busch InBev SA/NV,147.95B,0.97,1.27%,32.29%,-,Annual,3,16,16.65%,16.91%
LMT,Lockheed Martin Corporation,146.86B,13.80,2.16%,62.12%,4.71%,Quarterly,23,42,4.80%,5.95%
ETN,Eaton Corporation plc,146.45B,4.16,1.10%,39.81%,10.64%,Quarterly,16,55,8.13%,7.12%
ACN,Accenture plc,145.68B,6.52,2.75%,51.46%,12.27%,Quarterly,6,22,14.17%,13.11%
COF,Capital One Financial Corporation,139.25B,3.20,1.44%,69.42%,16.67%,Quarterly,1,32,5.27%,22.87%
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",139.16B,0.67,2.73%,32.46%,12.77%,Semi-Annual,5,37,22.08%,56.51%
UBS,UBS Group AG,136.89B,0.74,1.67%,33.53%,28.57%,Annual,4,11,20.22%,4.13%
BKNG,Booking Holdings Inc.,136.58B,38.40,0.91%,25.06%,9.71%,Quarterly,2,2,-,-
SYK,Stryker Corporation,136.17B,3.52,0.99%,40.95%,4.88%,Quarterly,16,36,5.98%,7.38%
SONY,Sony Group Corporation,136.05B,1.05,4.72%,-,"1,098.23%",Semi-Annual,3,10,136.22%,66.57%
WELL,Welltower Inc.,135.38B,2.96,1.50%,193.27%,10.16%,Quarterly,2,50,4.94%,2.94%
SPGI,S&P Global Inc.,134.50B,3.88,0.87%,28.02%,4.34%,Quarterly,53,56,3.72%,6.73%
COP,ConocoPhillips,133.18B,3.36,3.09%,51.02%,3.85%,Quarterly,1,56,-11.91%,13.77%
ARM,Arm Holdings plc,132.34B,0,-,-,-,-,-,1,-,-
BTI,British American Tobacco p.l.c.,132.18B,3.13,5.12%,166.05%,6.47%,Quarterly,3,28,5.54%,2.02%
NEM,Newmont Corporation,131.42B,1.00,0.83%,15.55%,-,Quarterly,-,55,-21.28%,-7.16%
PLD,"Prologis, Inc.",130.58B,4.04,2.94%,116.35%,5.21%,Quarterly,12,15,7.63%,11.26%
MDT,Medtronic plc,130.32B,2.84,2.79%,76.69%,1.43%,Quarterly,50,50,1.33%,4.05%
CB,Chubb Limited,127.57B,3.88,1.19%,15.41%,6.41%,Quarterly,34,34,4.79%,4.13%
BMY,Bristol-Myers Squibb Company,123.71B,2.52,4.15%,71.97%,2.89%,Quarterly,19,56,3.90%,5.78%
PH,Parker-Hannifin Corporation,123.55B,7.20,0.74%,26.25%,10.43%,Quarterly,70,70,10.61%,15.39%
MFG,"Mizuho Financial Group, Inc.",123.30B,0.15,1.52%,5.56%,25.36%,Semi-Annual,3,10,18.04%,6.93%
INTU,Intuit Inc.,121.74B,4.80,1.10%,30.74%,15.46%,Quarterly,15,16,14.05%,14.26%
VRTX,Vertex Pharmaceuticals Incorporated,119.47B,0,-,-,-,-,-,1,-,-
GSK,GSK plc,118.43B,1.68,2.84%,89.69%,9.58%,Quarterly,2,53,4.97%,-8.49%
PGR,The Progressive Corporation,118.12B,13.90,6.90%,72.28%,183.67%,Quarterly,2,17,226.33%,23.19%
MCK,McKesson Corporation,117.87B,3.28,0.34%,9.12%,15.27%,Quarterly,18,33,14.90%,13.68%
PANW,"Palo Alto Networks, Inc.",115.70B,0,-,-,-,-,-,-,-,-
SNY,Sanofi,115.52B,1.60,3.31%,21.27%,8.13%,Annual,2,23,5.15%,3.17%
CMCSA,Comcast Corporation,113.73B,1.32,4.18%,24.49%,4.76%,Quarterly,6,19,6.27%,7.03%
HCA,"HCA Healthcare, Inc.",113.54B,3.12,0.63%,10.38%,8.89%,Quarterly,5,9,8.84%,43.69%
SBUX,Starbucks Corporation,112.76B,2.48,2.51%,204.93%,4.24%,Quarterly,16,17,6.44%,7.42%
GLW,Corning Incorporated,111.55B,1.12,0.85%,61.20%,-,Quarterly,-,19,0.91%,4.47%
CME,CME Group Inc.,110.79B,10.80,3.52%,44.80%,-51.92%,Quarterly,-,23,-16.54%,-3.42%
ENB,Enbridge Inc.,110.36B,2.69,5.32%,146.77%,0.88%,Quarterly,2,53,0.69%,1.84%
IBN,ICICI Bank Limited,110.14B,0.21,0.69%,25.99%,4.97%,Annual,5,5,7.18%,34.17%
BSX,Boston Scientific Corporation,109.92B,0,-,-,-,-,-,-,-,-
ADBE,Adobe Inc.,109.56B,0,-,-,-,-,-,-,-,-
NOW,"ServiceNow, Inc.",108.65B,0,-,-,-,-,-,-,-,-
MO,"Altria Group, Inc.",108.11B,4.24,6.58%,100.97%,4.00%,Quarterly,57,57,3.80%,4.00%
AEM,Agnico Eagle Mines Limited,105.35B,1.60,0.76%,23.39%,-,Quarterly,-,33,-,7.78%
BN,Brookfield Corporation,105.14B,0.24,0.51%,69.02%,12.50%,Quarterly,2,29,-9.77%,-5.85%
MELI,"MercadoLibre, Inc.",103.20B,0,-,-,-,-,-,-,-,-
BMO,Bank of Montreal,103.02B,4.74,3.27%,58.05%,6.82%,Quarterly,10,54,4.00%,8.34%
CRWD,"CrowdStrike Holdings, Inc.",102.87B,0,-,-,-,-,-,1,-,-
TT,Trane Technologies plc,101.77B,4.20,0.91%,29.83%,11.85%,Quarterly,5,56,11.93%,12.16%
BP,BP p.l.c.,100.35B,1.94,4.94%,"2,050.46%",6.95%,Quarterly,4,55,10.80%,4.51%
UPS,"United Parcel Service, Inc.",100.04B,6.56,5.56%,100.00%,0.46%,Quarterly,16,28,2.01%,10.13%
NOC,Northrop Grumman Corporation,99.06B,9.24,1.32%,30.91%,11.68%,Quarterly,22,55,9.12%,9.16%
ITUB,Itaú Unibanco Holding S.A.,98.77B,0.72,7.77%,97.32%,122.57%,Monthly,4,25,75.81%,27.55%
CEG,Constellation Energy Corporation,98.62B,1.55,0.57%,17.76%,10.01%,Quarterly,4,4,30.06%,-
SO,The Southern Company,98.42B,2.96,3.31%,73.58%,2.78%,Quarterly,24,56,2.86%,2.95%
SOMN,The Southern Company,98.42B,0,-,-,-,-,-,1,-,-
GD,General Dynamics Corporation,97.22B,6.00,1.67%,38.83%,5.63%,Quarterly,35,48,5.98%,6.40%
WDC,Western Digital Corporation,96.96B,0.50,0.17%,4.46%,-,Quarterly,-,2,65.10%,35.10%
ICE,"Intercontinental Exchange, Inc.",96.25B,2.08,1.23%,33.97%,7.10%,Quarterly,13,14,7.91%,9.77%
CVS,CVS Health Corporation,96.18B,2.66,3.51%,717.46%,-,Quarterly,-,56,5.66%,5.87%
PBR,Petróleo Brasileiro S.A. - Petrobras,96.02B,1.07,7.00%,94.64%,-60.14%,Quarterly,-,8,-33.80%,23.09%
PBR.A,Petróleo Brasileiro S.A. - Petrobras,96.02B,1.07,7.39%,94.64%,-60.14%,Quarterly,-,8,-40.12%,30.27%
BNS,The Bank of Nova Scotia,95.87B,3.13,4.03%,77.34%,1.67%,Quarterly,-,54,0.66%,2.53%
KKR,KKR & Co. Inc.,95.64B,0.74,0.69%,31.62%,5.71%,Quarterly,6,17,6.08%,6.50%
DUK,Duke Energy Corporation,94.66B,4.26,3.50%,66.92%,1.92%,Quarterly,18,56,1.96%,2.00%
RCL,Royal Caribbean Cruises Ltd.,94.12B,4.00,1.15%,22.39%,268.42%,Quarterly,2,2,106.06%,54.31%
PNC,"The PNC Financial Services Group, Inc.",94.07B,6.80,2.82%,40.35%,5.51%,Quarterly,15,56,3.75%,7.81%
USB,U.S. Bancorp,93.81B,2.08,3.45%,44.16%,3.03%,Quarterly,15,55,2.40%,3.96%
WM,"Waste Management, Inc.",92.97B,3.30,1.43%,49.25%,10.00%,Quarterly,22,28,7.59%,8.35%
STX,Seagate Technology Holdings plc,92.68B,2.96,0.70%,32.89%,2.82%,Quarterly,2,16,1.41%,2.04%
NKE,"NIKE, Inc.",92.39B,1.64,2.63%,94.40%,6.62%,Quarterly,24,42,7.67%,9.13%
BCS,Barclays PLC,91.77B,0.44,1.63%,80.45%,6.10%,Semi-Annual,4,5,8.44%,51.65%
FCX,Freeport-McMoRan Inc.,91.34B,0.60,0.94%,39.47%,-,Quarterly,-,9,-,51.57%
ADP,"Automatic Data Processing, Inc.",91.25B,6.80,3.00%,62.24%,10.20%,Quarterly,51,53,12.26%,11.98%
CM,Canadian Imperial Bank of Commerce,90.63B,2.87,2.93%,46.89%,7.73%,Quarterly,10,53,4.79%,5.19%
HWM,Howmet Aerospace Inc.,90.52B,0.48,0.21%,12.92%,48.39%,Quarterly,5,11,56.50%,87.22%
CVNA,Carvana Co.,90.15B,0,-,-,-,-,-,-,-,-
EMR,Emerson Electric Co.,89.93B,2.22,1.39%,52.88%,2.85%,Quarterly,69,69,1.51%,1.50%
MMM,3M Company,89.69B,2.92,1.72%,52.00%,4.95%,Quarterly,-,56,-20.76%,-12.80%
MAR,"Marriott International, Inc.",88.88B,2.68,0.81%,27.92%,9.54%,Quarterly,4,4,23.55%,54.49%
SHW,The Sherwin-Williams Company,88.88B,3.16,0.88%,30.80%,10.49%,Quarterly,49,49,9.53%,10.83%
ING,ING Groep N.V.,88.76B,1.20,3.89%,48.03%,3.34%,Semi-Annual,4,6,14.52%,57.47%
BK,The Bank of New York Mellon Corporation,87.83B,2.12,1.66%,27.84%,12.57%,Quarterly,15,56,12.42%,10.69%
NGG,National Grid plc,87.39B,3.09,3.50%,394.42%,-11.29%,Semi-Annual,-,27,-2.62%,-1.78%
SNDK,Sandisk Corporation,86.09B,0,-,-,-,-,-,-,-,-
FDX,FedEx Corporation,85.73B,5.80,1.59%,31.58%,6.11%,Quarterly,5,24,7.60%,17.12%
SPOT,Spotify Technology S.A.,85.49B,0,-,-,-,-,-,-,-,-
JCI,Johnson Controls International plc,85.08B,1.60,1.15%,29.13%,4.05%,Quarterly,5,55,2.98%,7.96%
NU,Nu Holdings Ltd.,85.04B,0,-,-,-,-,-,1,-,-
CRH,CRH plc,85.02B,1.48,1.17%,22.17%,5.71%,Quarterly,1,6,5.23%,5.18%
ITW,Illinois Tool Works Inc.,84.30B,6.44,2.22%,59.29%,7.24%,Quarterly,56,56,6.49%,6.74%
EQIX,"Equinix, Inc.",84.22B,18.76,2.19%,171.35%,10.09%,Quarterly,9,12,13.86%,11.57%
SNPS,"Synopsys, Inc.",83.97B,0,-,-,-,-,-,1,-,-
LYG,Lloyds Banking Group plc,83.61B,0.17,2.97%,188.14%,20.02%,Semi-Annual,4,5,15.23%,40.22%
CMI,Cummins Inc.,83.05B,8.00,1.33%,37.27%,9.14%,Quarterly,20,55,7.44%,7.50%
MRSH,"Marsh & McLennan Companies, Inc.",83.00B,3.60,2.10%,41.70%,11.41%,Quarterly,16,56,15.10%,13.70%
BAM,Brookfield Asset Management Ltd.,82.93B,1.82,3.53%,119.41%,15.06%,Quarterly,3,4,-,-
WMB,"The Williams Companies, Inc.",82.86B,2.10,3.10%,104.43%,5.19%,Quarterly,8,53,5.54%,4.69%
ECL,Ecolab Inc.,81.62B,2.92,1.01%,38.57%,13.56%,Quarterly,40,55,8.82%,7.12%
CNQ,Canadian Natural Resources Limited,81.52B,1.69,4.32%,74.51%,8.95%,Quarterly,2,25,-1.85%,20.22%
AMT,American Tower Corporation,81.32B,6.80,3.92%,108.48%,4.94%,Quarterly,15,15,4.14%,7.71%
DASH,"DoorDash, Inc.",80.27B,0,-,-,-,-,-,1,-,-
MCO,Moody's Corporation,80.18B,3.76,0.84%,30.28%,10.59%,Quarterly,16,28,9.42%,10.33%
DELL,Dell Technologies Inc.,80.13B,2.10,1.74%,28.02%,17.98%,Quarterly,4,5,16.74%,-
REGN,"Regeneron Pharmaceuticals, Inc.",80.07B,3.76,0.48%,8.63%,-,Quarterly,1,2,-,-
CDNS,"Cadence Design Systems, Inc.",79.21B,0,-,-,-,-,-,1,-,-
MNST,Monster Beverage Corporation,79.04B,0,-,-,-,-,-,-,-,-
CI,The Cigna Group,78.64B,6.24,2.12%,27.46%,6.65%,Quarterly,5,45,9.88%,43.52%
NTES,"NetEase, Inc.",78.25B,3.03,2.45%,190.85%,24.25%,Quarterly,4,13,30.00%,31.21%
B,Barrick Mining Corporation,78.09B,0.85,1.81%,28.89%,111.25%,Quarterly,1,40,9.14%,20.69%
ORLY,"O'Reilly Automotive, Inc.",78.06B,0,-,-,-,-,-,-,-,-
CTAS,Cintas Corporation,77.88B,1.80,0.92%,37.67%,15.42%,Quarterly,45,45,16.52%,10.32%
MDLZ,"Mondelez International, Inc.",77.85B,2.00,3.29%,102.65%,8.38%,Quarterly,12,25,8.83%,9.54%
HOOD,"Robinhood Markets, Inc.",77.83B,0,-,-,-,-,-,-,-,-
APO,"Apollo Global Management, Inc.",77.55B,2.04,1.52%,29.02%,9.63%,Quarterly,3,15,7.59%,-0.27%
VRT,Vertiv Holdings Co,77.23B,0.25,0.12%,6.60%,55.56%,Quarterly,3,6,91.29%,77.26%
PWR,"Quanta Services, Inc.",76.73B,0.44,0.09%,6.08%,10.81%,Quarterly,1,9,10.97%,13.26%
EPD,Enterprise Products Partners L.P.,76.06B,2.20,6.26%,81.85%,3.57%,Quarterly,28,29,4.52%,4.03%
CL,Colgate-Palmolive Company,75.90B,2.08,2.21%,79.09%,4.00%,Quarterly,63,63,3.43%,3.40%
CSX,CSX Corporation,75.82B,0.52,1.28%,33.77%,8.33%,Quarterly,21,45,8.24%,8.04%
SLB,SLB N.V.,75.57B,1.18,2.34%,48.94%,3.60%,Quarterly,4,56,14.06%,18.13%
SPG,"Simon Property Group, Inc.",74.88B,8.80,4.48%,61.05%,4.85%,Quarterly,4,33,7.06%,10.71%
ABNB,"Airbnb, Inc.",73.56B,0,-,-,-,-,-,-,-,-
TDG,TransDigm Group Incorporated,73.42B,90.00,6.92%,289.59%,20.00%,Annual,3,4,37.00%,37.22%
HLT,Hilton Worldwide Holdings Inc.,72.99B,0.60,0.19%,8.68%,-,Quarterly,-,4,-,31.95%
GM,General Motors Company,72.93B,0.72,0.89%,19.27%,31.25%,Quarterly,3,5,32.64%,47.58%
CP,Canadian Pacific Kansas City Limited,72.74B,0.63,0.78%,19.16%,14.18%,Quarterly,1,25,3.62%,2.26%
ELV,"Elevance Health, Inc.",72.28B,6.88,2.10%,27.17%,3.79%,Quarterly,15,16,8.79%,11.47%
DB,Deutsche Bank Aktiengesellschaft,71.93B,0.56,1.49%,15.57%,56.86%,Annual,4,4,33.18%,29.37%
VALE,Vale S.A.,71.80B,0.90,5.36%,67.96%,19.90%,Semi-Annual,1,24,-4.61%,-5.17%
MRVL,"Marvell Technology, Inc.",71.80B,0.24,0.29%,8.44%,-,Quarterly,-,15,-,-
COR,"Cencora, Inc.",70.67B,2.40,0.66%,27.61%,8.49%,Quarterly,21,26,6.76%,5.98%
MSI,"Motorola Solutions, Inc.",70.38B,4.84,1.15%,35.96%,11.17%,Quarterly,14,15,10.28%,10.66%
RSG,"Republic Services, Inc.",69.37B,2.50,1.12%,35.81%,8.07%,Quarterly,1,24,7.41%,7.48%
TFC,Truist Financial Corporation,69.16B,2.08,3.80%,54.48%,-,Quarterly,-,54,0.65%,2.93%
KMI,"Kinder Morgan, Inc.",68.95B,1.17,3.78%,85.11%,1.74%,Quarterly,8,16,1.77%,2.19%
NSC,Norfolk Southern Corporation,68.66B,5.40,1.77%,42.35%,-,Quarterly,-,45,2.12%,7.22%
EQNR,Equinor ASA,68.63B,1.22,4.40%,62.68%,-47.99%,Quarterly,-,25,-20.41%,24.90%
NWG,NatWest Group plc,67.58B,0.63,3.73%,72.27%,10.38%,Semi-Annual,1,5,-4.52%,48.79%
WBD,"Warner Bros. Discovery, Inc.",67.47B,0,-,-,-,-,-,1,-,-
AMX,"América Móvil, S.A.B. de C.V.",66.92B,0.56,2.53%,911.74%,8.81%,Semi-Annual,1,25,-70.64%,7.66%
PCAR,PACCAR Inc,66.86B,2.72,2.14%,60.31%,-35.70%,Quarterly,-,56,-1.16%,15.56%
INFY,Infosys Limited,66.78B,0.44,2.69%,56.69%,-12.17%,Semi-Annual,-,27,7.96%,7.71%
AON,Aon plc,66.57B,2.98,0.96%,17.51%,10.37%,Quarterly,14,47,9.98%,10.61%
TEL,TE Connectivity plc,66.45B,2.84,1.25%,40.99%,9.23%,Quarterly,15,20,8.23%,8.14%
LHX,"L3Harris Technologies, Inc.",65.58B,5.00,1.43%,56.86%,3.63%,Quarterly,24,56,2.53%,6.32%
SU,Suncor Energy Inc.,64.98B,1.65,3.03%,46.75%,2.76%,Quarterly,5,33,3.38%,20.73%
WPM,Wheaton Precious Metals Corp.,64.76B,0.66,0.46%,29.96%,6.45%,Quarterly,2,15,3.23%,7.96%
AEP,"American Electric Power Company, Inc.",64.68B,3.80,3.14%,55.03%,3.87%,Quarterly,16,56,5.30%,5.48%
E,Eni S.p.A.,64.51B,1.60,3.75%,167.36%,10.34%,Quarterly,5,30,0.10%,22.52%
SE,Sea Limited,64.45B,0,-,-,-,-,-,1,-,-
FTNT,"Fortinet, Inc.",63.90B,0,-,-,-,-,-,-,-,-
MDLN,Medline Inc.,63.77B,0,-,-,-,-,-,1,-,-
APD,"Air Products and Chemicals, Inc.",63.76B,7.24,2.53%,-,1.13%,Quarterly,51,56,2.80%,5.40%
MFC,Manulife Financial Corporation,63.70B,1.25,3.28%,55.61%,6.72%,Quarterly,10,26,6.71%,8.06%
TRV,"The Travelers Companies, Inc.",63.69B,4.40,1.50%,16.04%,4.76%,Quarterly,20,24,5.76%,5.29%
PSX,Phillips 66,63.46B,4.80,3.05%,44.02%,5.56%,Quarterly,14,14,6.25%,5.70%
CNI,Canadian National Railway Company,63.12B,2.55,2.47%,46.16%,3.40%,Quarterly,30,30,4.25%,7.19%
ROST,"Ross Stores, Inc.",62.91B,1.62,0.83%,25.30%,10.20%,Quarterly,5,32,8.59%,41.56%
ET,Energy Transfer LP,61.97B,1.34,7.42%,105.81%,3.11%,Quarterly,4,21,9.83%,7.69%
EOG,"EOG Resources, Inc.",61.79B,4.08,3.58%,39.70%,7.69%,Quarterly,1,37,-23.39%,21.61%
VLO,Valero Energy Corporation,61.42B,4.80,2.38%,60.63%,5.76%,Quarterly,3,38,5.04%,3.21%
NET,"Cloudflare, Inc.",60.86B,0,-,-,-,-,-,1,-,-
MPC,Marathon Petroleum Corporation,60.26B,4.00,1.96%,28.90%,10.09%,Quarterly,4,16,12.82%,10.49%
AZO,"AutoZone, Inc.",60.21B,0,-,-,-,-,-,1,-,-
SNOW,Snowflake Inc.,60.21B,0,-,-,-,-,-,-,-,-
DLR,"Digital Realty Trust, Inc.",60.20B,4.88,2.84%,136.31%,-,Quarterly,-,22,-,1.54%
TRP,TC Energy Corporation,60.17B,2.45,4.06%,104.56%,-9.13%,Quarterly,-,53,-3.29%,-0.65%
RACE,Ferrari N.V.,59.33B,3.43,1.02%,32.57%,31.54%,Annual,4,10,19.93%,26.97%
BDX,"Becton, Dickinson and Company",59.09B,4.20,2.03%,71.82%,5.03%,Quarterly,54,56,5.50%,5.23%
BKR,Baker Hughes Company,58.85B,0.92,1.55%,35.38%,6.98%,Quarterly,4,10,7.53%,5.02%
MPWR,"Monolithic Power Systems, Inc.",58.75B,8.00,0.66%,52.39%,25.80%,Quarterly,8,13,27.14%,26.04%
AFL,Aflac Incorporated,58.72B,2.44,2.16%,34.46%,12.98%,Quarterly,42,54,13.20%,14.97%
O,Realty Income Corporation,58.21B,3.24,5.14%,301.37%,2.82%,Monthly,22,33,2.81%,2.87%
NXPI,NXP Semiconductors N.V.,57.61B,4.06,1.77%,51.02%,-,Quarterly,-,8,4.55%,19.17%
SRE,Sempra,57.10B,2.58,2.95%,79.47%,4.03%,Quarterly,15,28,3.72%,4.03%
GWW,"W.W. Grainger, Inc.",56.59B,9.04,0.76%,25.54%,10.24%,Quarterly,55,56,9.53%,8.44%
TAK,Takeda Pharmaceutical Company Limited,56.33B,0.53,2.98%,117.40%,4.37%,Semi-Annual,1,7,0.26%,-5.51%
ZTS,Zoetis Inc.,56.10B,2.12,1.67%,34.70%,10.52%,Quarterly,13,14,15.13%,19.37%
AJG,Arthur J. Gallagher & Co.,55.97B,2.80,1.29%,46.17%,8.16%,Quarterly,15,42,8.41%,7.69%
MPLX,MPLX LP,55.84B,4.31,7.83%,84.36%,12.54%,Quarterly,3,14,11.16%,8.14%
RKT,"Rocket Companies, Inc.",55.22B,0.80,4.08%,-,-,-,-,1,-,-
URI,"United Rentals, Inc.",55.22B,7.88,0.90%,19.01%,9.88%,Quarterly,3,4,-,-
IMO,Imperial Oil Limited,55.12B,2.06,1.80%,43.54%,17.48%,Quarterly,10,35,20.40%,24.93%
CARR,Carrier Global Corporation,54.60B,0.96,1.47%,53.09%,15.09%,Quarterly,-,7,10.95%,18.00%
F,Ford Motor Company,54.15B,0.60,4.42%,51.29%,-20.00%,Quarterly,-,15,-20.63%,43.10%
AU,AngloGold Ashanti plc,54.12B,1.96,1.83%,55.77%,-,Quarterly,2,9,89.28%,46.61%
AME,"AMETEK, Inc.",53.73B,1.24,0.53%,19.38%,10.71%,Quarterly,6,55,10.86%,10.88%
FAST,Fastenal Company,53.41B,0.96,2.06%,82.57%,12.50%,Quarterly,27,34,12.04%,4.71%
DEO,Diageo plc,53.36B,4.07,4.19%,384.98%,-1.21%,Semi-Annual,-,37,3.98%,1.88%
D,"Dominion Energy, Inc.",53.25B,2.67,4.28%,87.12%,-,Quarterly,-,44,-,-3.19%
CAH,"Cardinal Health, Inc.",53.12B,2.04,0.90%,29.34%,1.01%,Quarterly,1,44,0.91%,0.95%
RELX,RELX PLC,52.77B,0.87,2.94%,61.17%,12.06%,Semi-Annual,3,36,9.30%,5.87%
FER,Ferrovial SE,52.60B,1.00,1.36%,18.31%,16.67%,Quarterly,2,2,-,-
CCJ,Cameco Corporation,52.47B,0.17,0.14%,19.80%,51.05%,Annual,2,35,24.79%,22.39%
TGT,Target Corporation,52.31B,4.56,3.95%,55.00%,1.79%,Quarterly,55,56,3.12%,10.95%
OKE,"ONEOK, Inc.",52.31B,4.28,5.15%,76.66%,4.00%,Quarterly,3,56,3.43%,2.15%
ALL,The Allstate Corporation,52.01B,4.32,2.16%,10.72%,8.51%,Quarterly,15,34,5.85%,10.92%
VST,Vistra Corp.,51.83B,0.91,0.59%,32.49%,3.21%,Quarterly,6,7,6.25%,10.19%
CMG,"Chipotle Mexican Grill, Inc.",51.56B,0,-,-,-,-,-,1,-,-
RBLX,Roblox Corporation,51.56B,0,-,-,-,-,-,-,-,-
ADSK,"Autodesk, Inc.",51.32B,0,-,-,-,-,-,-,-,-
FERG,Ferguson Enterprises Inc.,51.16B,3.56,1.36%,34.23%,5.63%,Quarterly,-,6,-0.29%,-
ARGX,argenx SE,51.10B,0,-,-,-,-,-,1,-,-
IDXX,"IDEXX Laboratories, Inc.",51.09B,0,-,-,-,-,-,-,-,-
PSA,Public Storage,50.83B,12.00,4.15%,124.60%,-,Quarterly,-,45,-18.48%,8.45%
BIDU,"Baidu, Inc.",50.52B,0,-,-,-,-,-,1,-,-
CRWV,"CoreWeave, Inc.",50.45B,0,-,-,-,-,-,1,-,-
EA,Electronic Arts Inc.,50.27B,0.76,0.38%,28.42%,-,Quarterly,-,7,-,-
CBRE,"CBRE Group, Inc.",50.12B,0,-,-,-,-,-,1,-,-
MET,"MetLife, Inc.",49.99B,2.27,2.98%,48.20%,4.13%,Quarterly,13,27,4.31%,4.29%
CTVA,"Corteva, Inc.",49.48B,0.72,0.98%,44.24%,5.97%,Quarterly,7,8,6.37%,6.43%
NDAQ,"Nasdaq, Inc.",49.28B,1.08,1.25%,34.95%,12.50%,Quarterly,14,15,10.52%,10.58%
AMP,"Ameriprise Financial, Inc.",49.22B,6.40,1.19%,17.57%,8.11%,Quarterly,21,22,8.58%,9.00%
GFI,Gold Fields Limited,48.81B,0.63,1.13%,30.26%,101.71%,Semi-Annual,1,53,24.47%,20.58%
DAL,"Delta Air Lines, Inc.",48.65B,0.75,1.00%,9.30%,29.55%,Quarterly,2,4,92.43%,48.10%
TER,"Teradyne, Inc.",48.55B,0.52,0.17%,14.12%,2.08%,Quarterly,-,13,3.65%,4.14%
FNV,Franco-Nevada Corporation,47.82B,1.58,0.64%,33.13%,8.22%,Quarterly,15,16,6.72%,8.72%
HLN,Haleon plc,47.78B,0.18,1.67%,79.30%,14.80%,Semi-Annual,3,3,-,-
ASX,"ASE Technology Holding Co., Ltd.",47.56B,0.26,1.18%,92.29%,13.71%,Annual,1,8,-14.95%,3.74%
FANG,"Diamondback Energy, Inc.",47.53B,4.00,2.41%,27.84%,-51.75%,Quarterly,-,8,-29.28%,21.27%
